17-AAG AEW541 AZD0530 AZD6244 Erlotinib Irinotecan L-685458 LBW242 Lapatinib Nilotinib Nutlin-3 PD-0325901 PD-0332991 PF2341066 PHA-665752 PLX4720 Paclitaxel Panobinostat RAF265 Sorafenib TAE684 TKI258 Topotecan ZD-6474
LN18_CENTRAL_NERVOUS_SYSTEM 5.1669 1.4906 0.7022 0.2497 0.3233 2.4904 0.5255 1.2075 0.369 0.4477 0.1367 0.7033 0.05377 1.6642 1.2814 NA 5.1481 4.2477 1.8471 0.4215 1.3576 1.2562 3.3191 NA
HEPG2_LIVER 5.3606 1.529 0.3882 3.0232 0.1433 3.224 0.07509 0.7298 0.2365 0.239 0.6041 3.9209 0.8202 0.744 0.2249 1.1158 4.8993 4.9398 1.58 0.2541 1.5851 0.9497 2.7849 0.8542
MIAPACA2_PANCREAS 4.5336 1.4882 1.5617 2.824 0.07553 3.4062 0.02159 0.3787 0.429 0.259 0.23 3.7488 0.3324 1.0965 0.5045 0.1083 5.7431 5.4217 1.3487 0.7994 2.0974 0.735 3.8799 1.3838
MCAS_OVARY 3.6897 0.913 0.8336 0.7299 0.05463 2.8648 0.03493 0.3144 0.6464 0.1668 0 2.0873 0.06381 0.612 0.02942 0 6.4269 4.1673 0.9551 0.4575 1.0451 0.7375 2.5156 0.8651
SBC5_LUNG 2.6699 0.6521 0.04244 0.5487 0.1555 3.3657 0.024 0.3379 0.2793 0.5386 0.5119 0.9161 0.02076 0.8519 0.2232 0.1305 6.4903 4.3195 0.5404 0.539 0.6623 1.0095 3.162 0.1834
IPC298_SKIN 3.5373 0.9805 0.04946 3.8036 0.5104 3.1056 0.1943 0.1968 0.2847 0.2386 0.01412 5.61 0.09373 0.1298 0.1498 0.5122 5.3262 4.117 3.249 0.6293 0.4449 1.4256 2.6856 0.7882
CAPAN2_PANCREAS 3.905 1.657 1.7225 1.5237 0.399 1.5901 0 0.3136 0.6047 0.7497 0.7347 3.115 0.3713 1.1095 0.1632 0.3741 3.4066 3.4812 0.8736 0 2.4551 0.2457 1.2993 1.9235
HS766T_PANCREAS 3.2746 0.3245 1.7451 2.7227 0.6797 0.9451 0.1058 0.006976 0.3614 0.2082 0.6257 3.6998 0.5099 0.846 0 0.09305 3.1435 3.5238 1.8703 0.2793 1.623 0.6438 0.9675 1.3798
EFO27_OVARY 2.7526 0.2644 1.3038 0.3168 0.8427 2.605 0 0.2594 0.9129 0.09143 0 0.9157 0 0.1799 0 NA 3.8972 4.9402 2.0174 0.326 0.4506 0.7044 2.1093 NA
A2780_OVARY 4.7559 0.6674 0.3709 2.5348 0.2241 4.4446 0.7732 0.3406 0.6209 0.4157 0.9955 3.6018 0.6759 1.3639 0.03508 0.3847 6.5225 4.5095 2.0551 0.9908 1.9146 1.8416 4.6525 1.3352
